short_name,full_name
AN/VDR-2,"Context information is below.
---------------------
Прилад AN/VDR-2
---------------------
Given the context information and not prior knowledge, answer the query.
Query: AN/VDR-2
Answer: "
A-pule помірний помірний дезактивуючий засіб (мило),"Context information is below.
---------------------
A-pule поміений дезактивуючий зcіб (мило)
---------------------
Given the context information and not prior knowledge, answer the query.
Query: A-pule помірний помірний дезактивуючий засіб (мило)
Answer: "
AVON (Підсумок до протигазів AVON),"Context information is below.
---------------------
Підсумок до протигазів AVON
---------------------
Given the context information and not prior knowledge, answer the query.
Query: AVON (Підсумок до протигазів AVON)
Answer: "
AVON ST-53,"Context information is below.
---------------------
Ізолюючий дихальний комплект AVON ST53
---------------------
Given the context information and not prior knowledge, answer the query.
Query: AVON ST-53
Answer: "
BioFire Film Arrey 2.0,"Context information is below.
---------------------
Система BioFire FilmArray 2.0
---------------------
Given the context information and not prior knowledge, answer the query.
Query: BioFire Film Arrey 2.0
Answer: "
Bionear,"Context information is below.
---------------------
Спеціальна хіміко-біологічна лабораторія Bionear
---------------------
Given the context information and not prior knowledge, answer the query.
Query: Bionear
Answer: "
Blauer TR9435-1,"Context information is below.
---------------------
Костюм тренувальний Blauer TR9435-1
---------------------
Given the context information and not prior knowledge, answer the query.
Query: Blauer TR9435-1
Answer: "
C-clean піноутворювач для дезактивації,"Context information is below.
---------------------
C-clean піноутворювач для дезактивації
---------------------
Given the context information and not prior knowledge, answer the query.
Query: C-clean піноутворювач для дезактивації
Answer: "
Decon AgentNaDCC активний хлор,"Context information is below.
---------------------
Decon Agent NaDCC активний хлор
---------------------
Given the context information and not prior knowledge, answer the query.
Query: Decon AgentNaDCC активний хлор
Answer: "
Decon RN-A1 добавка до піни,"Context information is below.
---------------------
Decon RN-A1 добавка до піни
---------------------
Given the context information and not prior knowledge, answer the query.
Query: Decon RN-A1 добавка до піни
Answer: "
Decon RN-A2 комплексоутворення іонів ізотопів,"Context information is below.
---------------------
Decon RN-A2 комплутворення іонів ізотопів
---------------------
Given the context information and not prior knowledge, answer the query.
Query: Decon RN-A2 комплексоутворення іонів ізотопів
Answer: "
"Hazard 4,11,8 л Евакуаційна сумка-рюкзак, колір чорний","Context information is below.
---------------------
Hazard 4,11,8 л Евакуаційна сумка-рюкзак, колір чорний
---------------------
Given the context information and not prior knowledge, answer the query.
Query: Hazard 4,11,8 л Евакуаційна сумка-рюкзак, колір чорний
Answer: "
Mini Bench,"Context information is below.
---------------------
Ключ 14x15
---------------------
Given the context information and not prior knowledge, answer the query.
Query: Mini Bench
Answer: "
